"","Sst","Pvalb","Vip","Lamp5","Sncg","Sst.Chodl","Sst.Chodl.Sncg.4","Sst.Sncg.3","Sst.Pvalb.1","Lamp5.Sncg.2","Vip.Sncg.1"
"SP4",4.50712371194548,-9.63784479188764,2.18296948095283,3.47998978835792,4.45610495923742,12.1873571798759,12.1375499846841,8.58616915683955,-3.66165273128318,4.45534731155459,3.76671361521094
"SPDEF",1.12323615883685,-1.2207617575405,-1.37665793844289,-1.06922121220656,-2.26010707082601,2.09079452369058,2.01851748145987,0.507689839410935,0.00671195444857328,-1.52179392916038,-1.91490462366943
"SRF",-1.79331054159868,2.71773852228838,-6.67005097890423,-4.30788604454296,-9.38365088584879,-5.13860739747352,-5.33693509499997,-7.19677845021238,0.105488572019698,-6.71561762491858,-9.30663335634898
"TFAP4",-1.58637986078439,-0.835652502599721,-1.70194464146885,-21.2870597663327,-13.1579211039215,-5.98945257002686,-6.79987475930892,-18.3986842758503,-2.12676991868381,-22.0453781172304,-9.4454254310581
"TFCP2",-2.31229357494291,-2.96902235814502,-1.66048015792205,-1.1489085308176,-2.63102994577601,-2.56714658459417,-2.75583779410442,-5.18018336853813,-3.29847137652142,-1.88899339329672,-2.34794306455971
"TFEB",-2.91066802163733,-0.826188600295192,-1.56610497724021,-0.603288177594713,-2.35816142670891,-4.07714787021565,-4.16994594080781,-4.7043183009895,-2.33482656085304,-1.44442949168502,-2.06201149195636
"ZBTB7B",2.6443608517619,-3.85016405839548,0.349023054080584,0.128920265384866,1.31754586949249,4.30149426346459,4.24084408755822,2.6592667273583,-0.542994114033672,0.428303441476462,0.843053364093478
"ZBTB7C",2.41295454762641,-4.53725900707374,0.671050463246927,0.112248950531313,0.224321706257023,4.3096609873339,4.22636556166179,2.19171768447702,-1.08209330400759,0.359354273797774,0.538374922906002
"ZBTB18",11.1948115938908,1.30305372325495,-15.9228288671391,-18.1407545115775,-20.0317760551344,7.28219438064894,6.72596168225306,-2.29187806428809,7.61095424793903,-21.8771181091262,-20.3967271222889
"Lhx4",-10.1289224332115,-5.73627391347132,-0.716696175649706,-1.41595696845108,0.504359424414027,-9.49932240683521,-9.9259711901029,-14.9900558464493,-10.4138789927808,-2.20891304290529,-0.474308663498697
"MEOX2",-10.7279740205327,-3.50537155724081,-4.02444064898244,-0.44418026156216,-0.964673250025841,-11.093117939472,-11.4350594548592,-15.0173527047278,-10.0150839182032,-1.99255521914738,-3.09092794621115
"Nkx3-1",-4.70334732230615,-2.08190454460671,-7.08172065598626,-4.36336318497718,-8.05674000445185,-4.85911106333279,-5.21076440425571,-9.78326099956082,-4.98934600121746,-6.85758217689663,-8.70100169875455
"PROP1",-14.2489750382594,-4.15866976166775,-5.12845521058415,-2.27234309270181,-3.48679158510684,-11.8765774025727,-12.5226824005335,-20.4057847535534,-11.6893352548594,-4.29353642084717,-5.24415650887551
"PRRX1",-10.0838268929717,-6.15838696478689,-0.765855248978517,-1.47948862877645,0.303743401030155,-9.15761921659756,-9.6105545495819,-15.075445249108,-11.0125150526753,-2.2236924370216,-0.53155886452319
