"","Pvalb","Sncg","Sst","Lamp5","Vip","Pvalb.Vip.3","Pvalb.Sst.1","Lamp5.Vip.2","Sncg.Vip.1"
"TP63",1.24068629484837,-1.73580438263003,-1.12075145240629,0.637521784096672,-1.18995002692454,-0.0233866131403306,-0.17090185894818,0.132908742238059,-1.52242673400282
"TP53",-1.52827356587474,3.05888882526549,-1.8041621470048,2.24605096131277,1.53644925806236,0.411386526158621,-2.5507632689273,2.59481781801103,2.62558071709783
"TP73",0.109884991455928,0.303705475696373,-0.211948272745121,1.39839067677707,-1.29533094800239,1.63822042426035,-0.0705450800241963,1.12478678053355,-0.444951656407541
"GMEB2",0.113516031870741,-0.686129257595637,0.476155735996068,0.575461418216112,-0.751335191234985,1.10022211308924,0.566846228578791,0.327155488765689,-0.75003119967467
"MTF1",0.876322670581706,0.126022941726597,-1.81355981122857,-0.304875396109775,0.739293705774856,-1.64959085452862,-1.26803991981909,-0.202713902889215,0.476194572940354
"Sox11",1.05785478795812,-0.878602538156541,-1.21990106976361,-1.26572378790768,0.454760602122436,-2.13233958595853,-0.447743160817182,-1.16895161575116,-0.234656962087488
"Sox1",-1.37332506558727,0.0357414599732496,-0.0864144667015095,-2.18978393318517,3.1901999453207,-3.41355334364156,-1.0933100786915,-1.45328406741986,1.64846859500774
"ELK1",-1.61469614945033,0.815269213549815,0.715796794335004,0.835102202797188,-0.391786570186078,0.729623300122861,-0.264337052728281,0.79136125375433,0.236042280121642
"Arx",-0.404586437099967,-0.915180937843662,0.592753291181347,-1.63959789978236,0.475971004830219,-1.598625486987,0.262567005272702,-1.54485554954997,-0.327050618324915
"Dlx1",-3.02746433803918,3.45435260507192,-1.97375988775741,4.53138600437843,1.4836024525643,1.75350214020115,-4.51689847812002,4.81158030870749,3.22029968483967
"DLX6",0.456311197101988,-0.00843117808932551,-1.16608444887386,0.508532671592381,-1.11672254381926,-0.522603604552014,-0.812713677936822,0.266922348665618,-0.585681514590017
