"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PAFAH1B3.1",1.86475379636321e-14,-0.648387266417725,0.357,0.408,4.29900340213575e-10,"oRG","PAFAH1B3"
"TENM4.1",3.00111501722564e-14,-0.747407021534708,0.107,0.18,6.91877056071199e-10,"oRG","TENM4"
"GNG3.1",3.43619121242067e-14,-0.64153967238437,0.102,0.177,7.92179522111461e-10,"oRG","GNG3"
"KLF7.1",4.0091227873813e-14,-0.663396741288185,0.087,0.16,9.24263167402884e-10,"oRG","KLF7"
"KIF2A.1",4.1142197315714e-14,-0.712974317220271,0.313,0.372,9.4849221691647e-10,"oRG","KIF2A"
"C9orf16.1",6.97498437200972e-14,-0.500519866486139,0.055,0.122,1.60801289712312e-09,"oRG","C9orf16"
"USP49.1",7.9865877924224e-14,-0.701927042497912,0.077,0.146,1.84122794966506e-09,"oRG","USP49"
"FTL",9.51181488091681e-14,-0.536371835105004,0.526,0.551,2.19285380264656e-09,"oRG","FTL"
"PLEKHA1.1",9.5736666073797e-14,-0.520672658606385,0.043,0.104,2.20711309966531e-09,"oRG","PLEKHA1"
"RPL18.1",9.67257006541975e-14,-0.456856896286804,0.696,0.662,2.22991430288187e-09,"oRG","RPL18"
"SORBS2.1",1.00483297618962e-13,-0.816976456944792,0.111,0.182,2.31654194330756e-09,"oRG","SORBS2"
"DACT1.1",1.06787573304469e-13,-0.551291246262237,0.041,0.103,2.46188071496122e-09,"oRG","DACT1"
"BEND5.1",1.20179107943007e-13,-0.637196822840083,0.06,0.125,2.77060915451807e-09,"oRG","BEND5"
"COMMD3.1",1.83503604424082e-13,-0.594208204671291,0.063,0.129,4.23049209639278e-09,"oRG","COMMD3"
"RPL30",2.01624369037724e-13,-0.439701493455406,0.678,0.663,4.64824820379568e-09,"oRG","RPL30"
"YWHAZ.1",2.75477992733776e-13,-0.504159329759587,0.659,0.62,6.35086964448448e-09,"oRG","YWHAZ"
"KDM5B.1",3.60375421349128e-13,-0.711042725091604,0.235,0.305,8.30809496378278e-09,"oRG","KDM5B"
"CORO1C",3.87925281044822e-13,-0.749581227007277,0.104,0.173,8.94322942920733e-09,"oRG","CORO1C"
"CSDE1.1",4.01842734278944e-13,-0.617787866692899,0.442,0.468,9.26408239606677e-09,"oRG","CSDE1"
"PPP3CA.1",4.17763101855345e-13,-0.681716798405296,0.137,0.209,9.63111055017312e-09,"oRG","PPP3CA"
"PAK3.1",4.64564425326788e-13,-0.755075550570444,0.207,0.276,1.07100682614838e-08,"oRG","PAK3"
"SLC22A23.1",5.00713391148496e-13,-0.51183911316399,0.051,0.114,1.15434465195374e-08,"oRG","SLC22A23"
"KIAA1549.1",5.31885429340139e-13,-0.556918220039147,0.052,0.114,1.22620866880076e-08,"oRG","KIAA1549"
"RB1CC1.1",5.53794500609096e-13,-0.68161220978264,0.363,0.414,1.27671784170421e-08,"oRG","RB1CC1"
